t,action_env,action_name
0,HARD_DROP,HARD_DROP
1,SOFT_DROP,SOFT_DROP
2,SOFT_DROP,SOFT_DROP
3,ROTATE,ROTATE
4,SOFT_DROP,SOFT_DROP
5,SOFT_DROP,SOFT_DROP
6,RIGHT,RIGHT
7,SOFT_DROP,SOFT_DROP
8,SOFT_DROP,SOFT_DROP
9,RIGHT,RIGHT
10,SOFT_DROP,SOFT_DROP
11,SOFT_DROP,SOFT_DROP
12,RIGHT,RIGHT
13,SOFT_DROP,SOFT_DROP
14,SOFT_DROP,SOFT_DROP
15,HARD_DROP,HARD_DROP
16,SOFT_DROP,SOFT_DROP
17,SOFT_DROP,SOFT_DROP
18,ROTATE,ROTATE
19,SOFT_DROP,SOFT_DROP
20,SOFT_DROP,SOFT_DROP
21,ROTATE,ROTATE
22,SOFT_DROP,SOFT_DROP
23,SOFT_DROP,SOFT_DROP
24,ROTATE,ROTATE
25,SOFT_DROP,SOFT_DROP
26,SOFT_DROP,SOFT_DROP
27,RIGHT,RIGHT
28,SOFT_DROP,SOFT_DROP
29,SOFT_DROP,SOFT_DROP
30,RIGHT,RIGHT
31,SOFT_DROP,SOFT_DROP
32,SOFT_DROP,SOFT_DROP
33,RIGHT,RIGHT
34,SOFT_DROP,SOFT_DROP
35,SOFT_DROP,SOFT_DROP
36,HARD_DROP,HARD_DROP
37,SOFT_DROP,SOFT_DROP
38,SOFT_DROP,SOFT_DROP
39,ROTATE,ROTATE
40,SOFT_DROP,SOFT_DROP
41,SOFT_DROP,SOFT_DROP
42,ROTATE,ROTATE
43,SOFT_DROP,SOFT_DROP
44,SOFT_DROP,SOFT_DROP
45,RIGHT,RIGHT
46,SOFT_DROP,SOFT_DROP
47,SOFT_DROP,SOFT_DROP
48,HARD_DROP,HARD_DROP
49,SOFT_DROP,SOFT_DROP
50,SOFT_DROP,SOFT_DROP
51,ROTATE,ROTATE
52,SOFT_DROP,SOFT_DROP
53,SOFT_DROP,SOFT_DROP
54,ROTATE,ROTATE
55,SOFT_DROP,SOFT_DROP
56,SOFT_DROP,SOFT_DROP
57,LEFT,LEFT
58,SOFT_DROP,SOFT_DROP
59,SOFT_DROP,SOFT_DROP
60,LEFT,LEFT
61,SOFT_DROP,SOFT_DROP
62,SOFT_DROP,SOFT_DROP
63,LEFT,LEFT
64,SOFT_DROP,SOFT_DROP
65,SOFT_DROP,SOFT_DROP
66,HARD_DROP,HARD_DROP
67,SOFT_DROP,SOFT_DROP
68,SOFT_DROP,SOFT_DROP
69,ROTATE,ROTATE
70,SOFT_DROP,SOFT_DROP
71,SOFT_DROP,SOFT_DROP
72,RIGHT,RIGHT
73,SOFT_DROP,SOFT_DROP
74,SOFT_DROP,SOFT_DROP
75,RIGHT,RIGHT
76,SOFT_DROP,SOFT_DROP
77,SOFT_DROP,SOFT_DROP
78,ROTATE,ROTATE
79,SOFT_DROP,SOFT_DROP
80,SOFT_DROP,SOFT_DROP
81,LEFT,LEFT
82,SOFT_DROP,SOFT_DROP
83,SOFT_DROP,SOFT_DROP
84,LEFT,LEFT
85,SOFT_DROP,SOFT_DROP
86,SOFT_DROP,SOFT_DROP
87,LEFT,LEFT
88,SOFT_DROP,SOFT_DROP
89,SOFT_DROP,SOFT_DROP
90,LEFT,LEFT
91,SOFT_DROP,SOFT_DROP
92,SOFT_DROP,SOFT_DROP
93,LEFT,LEFT
94,SOFT_DROP,SOFT_DROP
95,SOFT_DROP,SOFT_DROP
96,HARD_DROP,HARD_DROP
97,SOFT_DROP,SOFT_DROP
98,SOFT_DROP,SOFT_DROP
99,ROTATE,ROTATE
100,SOFT_DROP,SOFT_DROP
101,SOFT_DROP,SOFT_DROP
102,LEFT,LEFT
103,SOFT_DROP,SOFT_DROP
104,SOFT_DROP,SOFT_DROP
105,LEFT,LEFT
106,SOFT_DROP,SOFT_DROP
107,SOFT_DROP,SOFT_DROP
108,LEFT,LEFT
109,SOFT_DROP,SOFT_DROP
110,SOFT_DROP,SOFT_DROP
111,LEFT,LEFT
112,SOFT_DROP,SOFT_DROP
113,SOFT_DROP,SOFT_DROP
114,LEFT,LEFT
115,SOFT_DROP,SOFT_DROP
116,SOFT_DROP,SOFT_DROP
117,LEFT,LEFT
118,SOFT_DROP,SOFT_DROP
119,SOFT_DROP,SOFT_DROP
120,LEFT,LEFT
121,SOFT_DROP,SOFT_DROP
122,SOFT_DROP,SOFT_DROP
123,LEFT,LEFT
124,SOFT_DROP,SOFT_DROP
125,SOFT_DROP,SOFT_DROP
126,HARD_DROP,HARD_DROP
127,SOFT_DROP,SOFT_DROP
128,SOFT_DROP,SOFT_DROP
129,RIGHT,RIGHT
130,SOFT_DROP,SOFT_DROP
131,SOFT_DROP,SOFT_DROP
132,RIGHT,RIGHT
133,SOFT_DROP,SOFT_DROP
134,SOFT_DROP,SOFT_DROP
135,RIGHT,RIGHT
136,SOFT_DROP,SOFT_DROP
137,SOFT_DROP,SOFT_DROP
138,RIGHT,RIGHT
139,SOFT_DROP,SOFT_DROP
140,SOFT_DROP,SOFT_DROP
141,HARD_DROP,HARD_DROP
142,SOFT_DROP,SOFT_DROP
