t,action_id,action_name
0,0,NONE
1,4,SOFT_DROP
2,4,SOFT_DROP
3,4,SOFT_DROP
4,0,NONE
5,4,SOFT_DROP
6,4,SOFT_DROP
7,4,SOFT_DROP
8,0,NONE
9,4,SOFT_DROP
10,4,SOFT_DROP
11,4,SOFT_DROP
12,0,NONE
13,4,SOFT_DROP
14,4,SOFT_DROP
15,4,SOFT_DROP
16,0,NONE
17,4,SOFT_DROP
18,4,SOFT_DROP
19,4,SOFT_DROP
20,0,NONE
21,4,SOFT_DROP
22,4,SOFT_DROP
23,4,SOFT_DROP
24,0,NONE
25,4,SOFT_DROP
26,4,SOFT_DROP
27,4,SOFT_DROP
28,0,NONE
29,4,SOFT_DROP
30,4,SOFT_DROP
31,4,SOFT_DROP
32,0,NONE
33,4,SOFT_DROP
34,4,SOFT_DROP
35,4,SOFT_DROP
36,0,NONE
37,4,SOFT_DROP
38,4,SOFT_DROP
39,4,SOFT_DROP
40,0,NONE
41,0,NONE
42,4,SOFT_DROP
43,4,SOFT_DROP
44,4,SOFT_DROP
45,0,NONE
46,4,SOFT_DROP
47,4,SOFT_DROP
48,4,SOFT_DROP
49,4,SOFT_DROP
50,4,SOFT_DROP
51,4,SOFT_DROP
52,4,SOFT_DROP
53,4,SOFT_DROP
54,4,SOFT_DROP
55,4,SOFT_DROP
56,0,NONE
57,4,SOFT_DROP
58,4,SOFT_DROP
59,4,SOFT_DROP
60,4,SOFT_DROP
61,4,SOFT_DROP
62,4,SOFT_DROP
63,4,SOFT_DROP
64,4,SOFT_DROP
65,4,SOFT_DROP
66,4,SOFT_DROP
67,4,SOFT_DROP
68,4,SOFT_DROP
69,4,SOFT_DROP
70,4,SOFT_DROP
71,4,SOFT_DROP
72,4,SOFT_DROP
73,4,SOFT_DROP
74,4,SOFT_DROP
75,4,SOFT_DROP
76,4,SOFT_DROP
77,4,SOFT_DROP
78,4,SOFT_DROP
79,4,SOFT_DROP
80,0,NONE
81,4,SOFT_DROP
82,4,SOFT_DROP
83,4,SOFT_DROP
84,0,NONE
85,4,SOFT_DROP
86,4,SOFT_DROP
87,4,SOFT_DROP
88,0,NONE
89,4,SOFT_DROP
90,4,SOFT_DROP
91,4,SOFT_DROP
