t,action_name
0,LEFT
1,LEFT
2,LEFT
3,LEFT
4,LEFT
5,HARD_DROP
6,ROTATE
7,LEFT
8,LEFT
9,LEFT
10,LEFT
11,HARD_DROP
12,LEFT
13,LEFT
14,LEFT
15,LEFT
16,LEFT
17,HARD_DROP
18,ROTATE
19,LEFT
20,LEFT
21,LEFT
22,LEFT
23,HARD_DROP
24,LEFT
25,LEFT
26,LEFT
27,LEFT
28,LEFT
29,HARD_DROP
30,ROTATE
31,ROTATE
32,LEFT
33,LEFT
34,LEFT
35,HARD_DROP
36,ROTATE
37,ROTATE
38,LEFT
39,LEFT
40,LEFT
41,HARD_DROP
42,LEFT
43,LEFT
44,LEFT
45,LEFT
46,LEFT
47,HARD_DROP
48,ROTATE
49,LEFT
50,LEFT
51,LEFT
52,LEFT
53,HARD_DROP
54,LEFT
55,LEFT
56,LEFT
57,LEFT
58,LEFT
59,HARD_DROP
60,ROTATE
61,ROTATE
62,ROTATE
63,LEFT
64,LEFT
65,HARD_DROP
66,LEFT
67,LEFT
68,LEFT
69,LEFT
70,LEFT
71,HARD_DROP
72,LEFT
73,LEFT
74,LEFT
75,LEFT
76,LEFT
77,HARD_DROP
78,ROTATE
79,LEFT
80,LEFT
81,LEFT
82,LEFT
83,HARD_DROP
