t,action_id,action_name
0,2,RIGHT
1,4,SOFT_DROP
2,2,RIGHT
3,4,SOFT_DROP
4,5,HARD_DROP
5,3,ROTATE
6,4,SOFT_DROP
7,2,RIGHT
8,4,SOFT_DROP
9,2,RIGHT
10,4,SOFT_DROP
11,2,RIGHT
12,4,SOFT_DROP
13,2,RIGHT
14,4,SOFT_DROP
15,5,HARD_DROP
16,3,ROTATE
17,4,SOFT_DROP
18,2,RIGHT
19,4,SOFT_DROP
20,2,RIGHT
21,4,SOFT_DROP
22,2,RIGHT
23,4,SOFT_DROP
24,2,RIGHT
25,4,SOFT_DROP
26,5,HARD_DROP
27,3,ROTATE
28,4,SOFT_DROP
29,1,LEFT
30,4,SOFT_DROP
31,1,LEFT
32,4,SOFT_DROP
33,1,LEFT
34,4,SOFT_DROP
35,1,LEFT
36,4,SOFT_DROP
37,1,LEFT
38,4,SOFT_DROP
39,1,LEFT
40,4,SOFT_DROP
41,5,HARD_DROP
42,1,LEFT
43,4,SOFT_DROP
44,1,LEFT
45,4,SOFT_DROP
46,1,LEFT
47,4,SOFT_DROP
48,1,LEFT
49,4,SOFT_DROP
50,1,LEFT
51,4,SOFT_DROP
52,5,HARD_DROP
53,3,ROTATE
54,4,SOFT_DROP
55,2,RIGHT
56,4,SOFT_DROP
57,2,RIGHT
58,4,SOFT_DROP
59,2,RIGHT
60,4,SOFT_DROP
61,2,RIGHT
62,4,SOFT_DROP
63,5,HARD_DROP
64,3,ROTATE
65,4,SOFT_DROP
66,1,LEFT
67,4,SOFT_DROP
68,1,LEFT
69,4,SOFT_DROP
70,1,LEFT
71,4,SOFT_DROP
72,1,LEFT
73,4,SOFT_DROP
74,1,LEFT
75,4,SOFT_DROP
76,1,LEFT
77,4,SOFT_DROP
78,5,HARD_DROP
79,5,HARD_DROP
80,4,SOFT_DROP
81,4,SOFT_DROP
82,4,SOFT_DROP
83,4,SOFT_DROP
84,4,SOFT_DROP
85,4,SOFT_DROP
86,4,SOFT_DROP
87,4,SOFT_DROP
88,4,SOFT_DROP
89,4,SOFT_DROP
90,4,SOFT_DROP
91,4,SOFT_DROP
92,4,SOFT_DROP
93,4,SOFT_DROP
94,5,HARD_DROP
95,4,SOFT_DROP
96,4,SOFT_DROP
97,4,SOFT_DROP
98,4,SOFT_DROP
99,4,SOFT_DROP
100,4,SOFT_DROP
101,4,SOFT_DROP
102,4,SOFT_DROP
103,4,SOFT_DROP
104,4,SOFT_DROP
105,4,SOFT_DROP
106,3,ROTATE
107,4,SOFT_DROP
108,1,LEFT
109,4,SOFT_DROP
110,1,LEFT
111,4,SOFT_DROP
112,1,LEFT
113,4,SOFT_DROP
114,1,LEFT
115,4,SOFT_DROP
116,1,LEFT
117,4,SOFT_DROP
118,1,LEFT
119,4,SOFT_DROP
120,5,HARD_DROP
121,3,ROTATE
122,4,SOFT_DROP
123,1,LEFT
124,4,SOFT_DROP
125,1,LEFT
126,4,SOFT_DROP
127,1,LEFT
128,4,SOFT_DROP
129,1,LEFT
130,4,SOFT_DROP
131,5,HARD_DROP
132,4,SOFT_DROP
133,4,SOFT_DROP
134,4,SOFT_DROP
135,4,SOFT_DROP
136,4,SOFT_DROP
137,4,SOFT_DROP
138,4,SOFT_DROP
139,4,SOFT_DROP
140,1,LEFT
141,4,SOFT_DROP
142,1,LEFT
143,4,SOFT_DROP
144,1,LEFT
145,4,SOFT_DROP
146,1,LEFT
147,4,SOFT_DROP
148,1,LEFT
149,4,SOFT_DROP
150,5,HARD_DROP
151,3,ROTATE
152,4,SOFT_DROP
153,1,LEFT
154,4,SOFT_DROP
155,1,LEFT
156,4,SOFT_DROP
157,1,LEFT
158,4,SOFT_DROP
159,1,LEFT
160,4,SOFT_DROP
161,1,LEFT
162,4,SOFT_DROP
163,5,HARD_DROP
164,3,ROTATE
165,4,SOFT_DROP
166,3,ROTATE
167,4,SOFT_DROP
168,3,ROTATE
169,4,SOFT_DROP
170,1,LEFT
171,4,SOFT_DROP
172,1,LEFT
173,4,SOFT_DROP
174,1,LEFT
175,4,SOFT_DROP
176,1,LEFT
177,4,SOFT_DROP
178,1,LEFT
179,4,SOFT_DROP
180,5,HARD_DROP
181,3,ROTATE
182,4,SOFT_DROP
183,3,ROTATE
184,4,SOFT_DROP
185,3,ROTATE
186,4,SOFT_DROP
187,1,LEFT
188,4,SOFT_DROP
189,1,LEFT
190,4,SOFT_DROP
191,5,HARD_DROP
192,5,HARD_DROP
193,4,SOFT_DROP
194,4,SOFT_DROP
195,4,SOFT_DROP
196,4,SOFT_DROP
197,4,SOFT_DROP
198,4,SOFT_DROP
199,3,ROTATE
200,4,SOFT_DROP
201,3,ROTATE
202,4,SOFT_DROP
203,3,ROTATE
204,4,SOFT_DROP
205,3,ROTATE
206,4,SOFT_DROP
207,1,LEFT
208,4,SOFT_DROP
209,1,LEFT
210,4,SOFT_DROP
211,1,LEFT
212,4,SOFT_DROP
213,1,LEFT
214,4,SOFT_DROP
