t,action_id,action_name
280,1,LEFT
281,1,LEFT
282,1,LEFT
283,1,LEFT
284,1,LEFT
285,5,HARD_DROP
286,3,ROTATE
287,2,RIGHT
288,2,RIGHT
289,2,RIGHT
290,5,HARD_DROP
291,2,RIGHT
292,2,RIGHT
293,2,RIGHT
294,5,HARD_DROP
295,3,ROTATE
296,3,ROTATE
297,3,ROTATE
298,2,RIGHT
299,2,RIGHT
300,2,RIGHT
301,5,HARD_DROP
302,5,HARD_DROP
303,2,RIGHT
304,2,RIGHT
305,5,HARD_DROP
306,3,ROTATE
307,3,ROTATE
308,3,ROTATE
309,2,RIGHT
310,2,RIGHT
311,2,RIGHT
312,2,RIGHT
313,2,RIGHT
314,2,RIGHT
315,2,RIGHT
316,5,HARD_DROP
317,2,RIGHT
318,2,RIGHT
319,2,RIGHT
320,2,RIGHT
321,2,RIGHT
322,2,RIGHT
323,2,RIGHT
324,5,HARD_DROP
325,5,HARD_DROP
326,2,RIGHT
327,2,RIGHT
328,2,RIGHT
329,2,RIGHT
330,5,HARD_DROP
331,3,ROTATE
332,1,LEFT
333,1,LEFT
334,1,LEFT
335,1,LEFT
336,1,LEFT
337,1,LEFT
338,5,HARD_DROP
339,3,ROTATE
340,1,LEFT
341,1,LEFT
342,1,LEFT
343,1,LEFT
344,1,LEFT
345,1,LEFT
346,5,HARD_DROP
347,2,RIGHT
348,2,RIGHT
349,2,RIGHT
350,2,RIGHT
351,5,HARD_DROP
352,3,ROTATE
353,3,ROTATE
354,3,ROTATE
355,2,RIGHT
356,2,RIGHT
357,2,RIGHT
358,2,RIGHT
359,2,RIGHT
360,2,RIGHT
361,2,RIGHT
362,5,HARD_DROP
363,3,ROTATE
364,3,ROTATE
365,3,ROTATE
366,2,RIGHT
367,2,RIGHT
368,2,RIGHT
369,2,RIGHT
370,2,RIGHT
371,2,RIGHT
372,2,RIGHT
373,5,HARD_DROP
374,2,RIGHT
375,2,RIGHT
376,2,RIGHT
377,2,RIGHT
378,2,RIGHT
379,2,RIGHT
380,2,RIGHT
381,5,HARD_DROP
382,3,ROTATE
383,2,RIGHT
384,2,RIGHT
385,2,RIGHT
386,2,RIGHT
387,2,RIGHT
388,2,RIGHT
389,2,RIGHT
390,5,HARD_DROP
391,3,ROTATE
392,1,LEFT
393,1,LEFT
394,1,LEFT
