t,action_id,action_name
0,1,LEFT
1,4,SOFT_DROP
2,4,SOFT_DROP
3,1,LEFT
4,4,SOFT_DROP
5,4,SOFT_DROP
6,1,LEFT
7,4,SOFT_DROP
8,4,SOFT_DROP
9,1,LEFT
10,4,SOFT_DROP
11,4,SOFT_DROP
12,1,LEFT
13,4,SOFT_DROP
14,4,SOFT_DROP
15,5,HARD_DROP
16,3,ROTATE
17,3,ROTATE
18,3,ROTATE
19,3,ROTATE
20,3,ROTATE
21,3,ROTATE
22,3,ROTATE
23,3,ROTATE
24,3,ROTATE
25,3,ROTATE
26,3,ROTATE
27,3,ROTATE
28,3,ROTATE
29,3,ROTATE
30,3,ROTATE
31,3,ROTATE
32,3,ROTATE
33,3,ROTATE
34,3,ROTATE
35,3,ROTATE
36,3,ROTATE
37,3,ROTATE
38,3,ROTATE
39,3,ROTATE
40,3,ROTATE
41,3,ROTATE
42,3,ROTATE
43,3,ROTATE
44,3,ROTATE
45,3,ROTATE
46,3,ROTATE
47,3,ROTATE
48,3,ROTATE
49,3,ROTATE
50,3,ROTATE
51,3,ROTATE
52,3,ROTATE
53,3,ROTATE
54,3,ROTATE
55,3,ROTATE
56,3,ROTATE
57,3,ROTATE
58,3,ROTATE
59,3,ROTATE
60,3,ROTATE
61,3,ROTATE
62,3,ROTATE
63,3,ROTATE
64,3,ROTATE
65,3,ROTATE
66,3,ROTATE
67,3,ROTATE
68,3,ROTATE
69,3,ROTATE
70,3,ROTATE
71,3,ROTATE
72,3,ROTATE
73,3,ROTATE
74,3,ROTATE
75,3,ROTATE
76,3,ROTATE
77,3,ROTATE
78,3,ROTATE
79,3,ROTATE
80,3,ROTATE
81,3,ROTATE
82,3,ROTATE
83,3,ROTATE
84,3,ROTATE
85,3,ROTATE
86,3,ROTATE
87,3,ROTATE
88,3,ROTATE
89,3,ROTATE
90,3,ROTATE
91,3,ROTATE
92,3,ROTATE
93,3,ROTATE
94,3,ROTATE
95,3,ROTATE
96,3,ROTATE
97,3,ROTATE
98,3,ROTATE
99,3,ROTATE
100,3,ROTATE
101,3,ROTATE
102,3,ROTATE
103,3,ROTATE
104,3,ROTATE
105,3,ROTATE
106,3,ROTATE
107,3,ROTATE
108,3,ROTATE
109,3,ROTATE
110,3,ROTATE
111,3,ROTATE
112,3,ROTATE
113,3,ROTATE
114,3,ROTATE
115,3,ROTATE
116,3,ROTATE
117,3,ROTATE
118,3,ROTATE
119,3,ROTATE
120,3,ROTATE
121,3,ROTATE
122,3,ROTATE
123,3,ROTATE
124,3,ROTATE
125,3,ROTATE
126,3,ROTATE
127,3,ROTATE
128,3,ROTATE
129,3,ROTATE
130,3,ROTATE
131,3,ROTATE
132,3,ROTATE
133,3,ROTATE
134,3,ROTATE
135,3,ROTATE
136,3,ROTATE
137,3,ROTATE
138,3,ROTATE
139,3,ROTATE
140,3,ROTATE
141,3,ROTATE
142,3,ROTATE
143,3,ROTATE
144,3,ROTATE
145,3,ROTATE
146,3,ROTATE
147,3,ROTATE
148,3,ROTATE
149,3,ROTATE
150,3,ROTATE
151,3,ROTATE
152,3,ROTATE
153,3,ROTATE
154,3,ROTATE
155,3,ROTATE
156,3,ROTATE
157,3,ROTATE
158,3,ROTATE
159,3,ROTATE
160,3,ROTATE
161,3,ROTATE
162,3,ROTATE
163,3,ROTATE
164,3,ROTATE
165,3,ROTATE
166,3,ROTATE
167,3,ROTATE
168,3,ROTATE
169,3,ROTATE
170,3,ROTATE
171,3,ROTATE
172,3,ROTATE
173,3,ROTATE
174,3,ROTATE
175,3,ROTATE
176,3,ROTATE
177,3,ROTATE
178,3,ROTATE
179,3,ROTATE
180,3,ROTATE
181,3,ROTATE
182,3,ROTATE
183,3,ROTATE
184,3,ROTATE
185,3,ROTATE
186,3,ROTATE
187,3,ROTATE
188,3,ROTATE
189,3,ROTATE
190,3,ROTATE
191,3,ROTATE
192,3,ROTATE
193,3,ROTATE
194,3,ROTATE
195,3,ROTATE
196,3,ROTATE
197,3,ROTATE
198,3,ROTATE
199,3,ROTATE
200,3,ROTATE
201,3,ROTATE
202,3,ROTATE
203,3,ROTATE
204,3,ROTATE
205,3,ROTATE
206,3,ROTATE
207,3,ROTATE
208,3,ROTATE
209,3,ROTATE
210,3,ROTATE
211,3,ROTATE
212,3,ROTATE
213,3,ROTATE
214,3,ROTATE
215,3,ROTATE
216,3,ROTATE
217,3,ROTATE
218,3,ROTATE
219,3,ROTATE
220,3,ROTATE
221,3,ROTATE
222,3,ROTATE
223,3,ROTATE
224,3,ROTATE
225,3,ROTATE
226,3,ROTATE
227,3,ROTATE
228,3,ROTATE
229,3,ROTATE
230,3,ROTATE
231,3,ROTATE
232,3,ROTATE
233,3,ROTATE
234,3,ROTATE
235,3,ROTATE
236,3,ROTATE
237,3,ROTATE
238,3,ROTATE
239,3,ROTATE
240,3,ROTATE
241,3,ROTATE
242,3,ROTATE
243,3,ROTATE
244,3,ROTATE
245,3,ROTATE
246,3,ROTATE
247,3,ROTATE
248,3,ROTATE
249,3,ROTATE
250,3,ROTATE
251,3,ROTATE
252,3,ROTATE
253,3,ROTATE
254,3,ROTATE
