t,action_name
0,LEFT
1,LEFT
2,HARD_DROP
3,ROTATE
4,ROTATE
5,ROTATE
6,LEFT
7,LEFT
8,LEFT
9,LEFT
10,HARD_DROP
11,ROTATE
12,ROTATE
13,ROTATE
14,LEFT
15,LEFT
16,LEFT
17,LEFT
18,HARD_DROP
19,ROTATE
20,ROTATE
21,ROTATE
22,LEFT
23,LEFT
24,LEFT
25,LEFT
26,HARD_DROP
27,LEFT
28,LEFT
29,HARD_DROP
30,ROTATE
31,ROTATE
32,ROTATE
33,LEFT
34,LEFT
35,LEFT
36,LEFT
37,HARD_DROP
38,ROTATE
39,ROTATE
40,ROTATE
41,LEFT
42,LEFT
43,LEFT
44,LEFT
45,HARD_DROP
46,ROTATE
47,ROTATE
48,ROTATE
49,LEFT
50,LEFT
51,LEFT
52,LEFT
53,HARD_DROP
54,LEFT
55,LEFT
56,LEFT
57,LEFT
58,LEFT
59,HARD_DROP
60,LEFT
61,LEFT
62,LEFT
63,LEFT
64,LEFT
65,HARD_DROP
66,ROTATE
67,ROTATE
68,ROTATE
69,LEFT
70,LEFT
71,LEFT
72,LEFT
73,HARD_DROP
74,LEFT
75,LEFT
76,LEFT
77,HARD_DROP
78,LEFT
79,LEFT
80,LEFT
81,LEFT
82,HARD_DROP
83,ROTATE
84,ROTATE
85,ROTATE
86,LEFT
87,LEFT
88,LEFT
89,LEFT
90,HARD_DROP
91,LEFT
92,LEFT
93,LEFT
94,LEFT
95,HARD_DROP
96,LEFT
97,LEFT
98,HARD_DROP
